CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
225,230590,TURK TELEKOM AS,TR
227,230591,Essentra PLC,GB
228,230592,BHARTI AIRTEL LTD,IN
230,230593,MSN LABORATORIES LIMITED,IN
231,230594,SAFE PHARMACEUTICAL TECHNOLOGY COMPANY LTD,CN
233,230595,CIVIL SERVICE COLLEGE,SG
235,230596,ADVANCED SEMICONDUCTOR ENGINEERING INC,TW
236,230597,ANHUI ZHONGYAN INDUSTRY CO LTD,CN
237,230598,NOTTINGHAM CITY COUNCIL,GB
238,230599,SPECIALIST COMPUTER CENTRES PLC,FR
239,230600,HOME CREDIT INTERNATIONAL A.S.,CZ
241,230601,RICHEMONT INTERNATIONAL SA,CH
242,230602,L & T TECHNOLOGY SERVICES LTD,IN
244,230603,CHINA RESOURCES LAND,CN
245,230604,ABU DHABI AIRPORT COMPANY PJSC (ADAC),AE
247,230605,FULLERTON INDIA CREDIT COMPANY LTD,IN
248,230606,"GALAXYCORE  (ZHEJIANG)  CO.,LTD.     ",CN
250,230607,GARRETT ADVANCING MOTION,IN
252,230608,GENERAL ORGANIZATION FOR SOCIAL INSURANCE ( GOSI ),SA
253,230609,DAIWA SECURITIES SMBC EUR,GB
254,230610,LUX AIRPORT,LU
256,230611,M/S MAZAGON DOCK SHIP BUILDERS LIMITED,IN
257,230612,HM REVENUE AND CUSTOMS,GB
259,230613,GUJARAT GAS LIMITED,IN
260,230614,NATIONAL INFORMATICS CENTRE,IN
261,230615,MULTICHOICE,ZA
262,230616,DSTA,SG
263,230617,MTR CORPORATION LTD,HK
265,230618,CAPITA BUSINESS SERVICES,GB
267,230619,Network International LLC,AE
268,230620,BISL LIMITED,GB
271,230621,NOMURA INTERNATIONAL (HONG KONG) LIMITED,IN
272,230622,DHL INFORMATION SERVICES (EUROPE) S. R. O.,MY
273,230623,TIETO FINLAND OY,FI
274,230624,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LTD,IN
276,230625,DUBLIN AIRPORT AUTHORITY,IE
277,230626,CONNECTICARE INC,US
278,230627,CONSEJERIA DE SANIDAD SERVICIO ANDALUZ DE SALUD SSPA,ES
282,230628,JPMORGAN CHASE,US
283,230629,YES BANK LTD,IN
284,230630,Mifal Hapayis,IL
285,230631,T-SYSTEMS INTERNATIONAL GMBH,DE
286,230632,HDFC BANK LTD,IN
287,230633,ATOS IT SOLUTIONS AND SERVICES INC,US
288,230634,"GUANGZHOU SHIYUAN ELECTRONICS CO., LTD.",CN
290,230635,VERIZON SOURCING LLC,US
291,230636,HAMILTON COUNTY OH US,US
292,230637,ATLANTIS FOUNDRIES (PTY) LTD,ZA
293,230638,AXA GO SINGAPORE PTE. LTD,SG
294,230639,THE BANK OF NOVA SCOTIA,CA
295,230640,CBOE EUROPE LIMITED,GB
296,230641,MA L CITY OF BOSTON MIS,US
297,230642,DEPARTMENT OF REVENUE,US
298,230643,IAEA INTERNATIONAL ATOMIC ENERGY AGENCY,AT
299,230644,SWIFT SCRL,BE
300,230645,LYON MANAGED SERVICES,GB
301,230646,ARAB BANK,DZ
302,230647,SOS-KINDERDORF E.V.,DE
303,230648,NORDEA,DK
304,230649,H & M HENNES & MAURITZ AB,SE
305,230650,HCL AMERICA INCORPORATED,US
306,230651,ANIDRIS SA,LU
307,230652,OXFORD HEALTH NHS FOUNDATION TRUST,GB
308,230653,DRAGON OIL (HOLDING) LIMITED,AE
309,230654,ABERDEEN ASSET MANAGEMENT,GB
310,230655,MOUNT SINAI HEALTH SYSTEM,US
311,230656,ADOMA,FR
313,230657,YORK HOSPITAL,US
314,230658,BANK OF THE WEST,US
316,230659,SIEMENS HEALTHCARE PRIVATE LIMITED,IN
318,230660,RAYNET SAS,FR
319,230661,KOREK TELECOM,IQ
320,230662,ABC BANK,DZ
321,230663,PETROLEO BRASILEIRO SA,BR
323,230664,CAPGEMINI TECHNOLOGY SERVICES SAS,IN
324,230665,KING FAISAL UNIVERSITY,SA
325,230666,MEDZ,MA
326,230667,BANK INDONESIA,ID
327,230668,FLUGHAFEN MUENCHEN GMBH,DE
328,230669,BANQUE CENTRALE DE MADAGASCAR,MG
330,230670,THE ULTIMATE SOFTWARE GROUP INC,US
331,230671,INFOCOMM MEDIA DEVELOPMENT AUTHORITY OF SINGAPORE,SG
332,230672,PANASONIC AUTOMOTIVE MEXICO,US
333,230673,SYNTHES GMBH,CH
334,230674,BELL CANADA,IE
335,230675,HCL AMERICA INC,IN
339,230676,GDIT,US
340,230677,Experian Finance Plc,GB
341,230678,MORGAN STANLEY & COMPANY INC,US
342,230679,CISCO,US
